분류번호,측정소명,년/월/일,회차,경도,위도,채수시각,수심(m),수온(℃),DO,BOD(㎎/L),COD(㎎/L),SS(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),경도_십진수,위도_십진수
1019A05,가양,2025-01-02,1회차,"126°51'42.79""","37°34'12.96""",10:30,,5.2,12.1,1.9,5.5,7.1,4.856,0.033,2.9,126.8618861,37.57026667
1016A70,경안천9,2025-01-02,1회차,"127°18'29.7""","37°25'43.6""",13:47,,5.8,11.5,1.3,5.1,1.9,4.687,0.079,2.6,127.30825,37.42877778
3301A05,고산,2025-01-02,1회차,"127°13'1.5""","35°58'27.7""",10:43,,5.5,12.7,1.8,2.8,0.9,1.6,0.004,0.6,127.2170833,35.97436111
5004A10,광산,2025-01-02,1회차,"126°46'34.09""","35°4'13.9""",10:00,,8.1,11.3,3.7,7.9,6.8,8.135,0.089,6.2,126.7761361,35.07052778
5001A40,광주1,2025-01-02,1회차,"126°49'25.3""","35°9'39.6""",10:57,,5.3,13.3,1.5,5,4.4,2.612,0.095,2.7,126.8236944,35.161
5001A70,광주2,2025-01-02,1회차,"126°49'41.8""","35°8'27.9""",9:43,,7.1,11.3,1.9,7,7.6,8.883,0.128,4,126.8282778,35.14108333
5001A80,광주3,2025-01-02,1회차,"126°49'12.81""","35°6'40.18""",9:56,,8.4,10.3,1.5,7.4,7.2,9.139,0.12,4.4,126.820225,35.11116111
4009A30,구례,2025-01-02,1회차,"127°32'39.2""","35°11'25.4""",12:21,,5.9,13.8,0.3,3.3,1.6,2.076,0.013,1.7,127.5442222,35.19038889
2022A35,구포,2025-01-02,1회차,"128°59'25.74""","35°12'22.69""",15:42,,7,15.2,3.9,8.4,7.6,2.627,0.031,1.1,128.9904833,35.20630278
5004A20,나주,2025-01-02,1회차,"126°44'.81""","35°2'8.79""",11:45,,6.4,13,3.8,7.3,8.7,7.525,0.088,5.9,126.7335583,35.035775
2020A10,남지,2025-01-02,1회차,"128°28'25.1""","35°22'51.1""",10:36,,5.9,12.7,1.3,5.5,1.8,2.82,0.015,1.3,128.4736389,35.38086111
5001A10,담양,2025-01-02,1회차,"127°1'3.4""","35°19'59.7""",12:23,,7.4,13.2,0.4,2.8,1.6,2.803,0.295,1.5,127.0176111,35.33325
5006A40,무안1,2025-01-02,1회차,"126°31'48.1""","34°53'55.2""",10:59,,6.5,12.8,2.6,8.1,11.2,4.322,0.09,4.1,126.5300278,34.89866667
5008A10,무안2,2025-01-02,1회차,"126°26'55.3""","34°47'11.2""",12:00,,6.1,12,2,6,4.1,2.846,0.026,4.4,126.4486944,34.78644444
4008A20,보성강7,2025-01-02,1회차,"127°22'33.9""","35°11'33.7""",11:21,,4.8,13.1,0.2,2.7,0.4,1.038,0.007,1.5,127.3760833,35.19269444
2020A60,삼랑진2,2025-01-02,1회차,"128°49'17.8""","35°22'51.3""",13:51,,6.3,13.5,3.5,7.4,6.4,2.744,0.03,2.7,128.8216111,35.38091667
3301A45,삼례,2025-01-02,1회차,"127°4'3.2""","35°53'54.4""",10:16,,7.3,11.8,2.3,6.8,3.6,4.989,0.038,3,127.0675556,35.89844444
2001A60,안동1,2025-01-02,1회차,"128°45'51.84""","36°34'51.24""",13:20,,8.6,9.8,0.4,3.2,1.2,1.02,0.01,2.3,128.7644,36.5809
2003A10,안동2,2025-01-02,1회차,"128°42'.1""","36°33'1.3""",13:00,,6.1,14.5,0.5,4.1,3.2,1.1,0.012,,128.7000278,36.55036111
2003A30,안동3,2025-01-02,1회차,"128°35'43.08""","36°33'8.64""",13:50,,6.1,13.1,0.7,3.6,1.6,1.41,0.013,2.9,128.5953,36.5524
2003A40,안동4,2025-01-02,1회차,"128°27'46.44""","36°32'23.64""",14:15,,4.9,12.5,0.4,3.6,1.8,1.5,0.012,,128.4629,36.5399
1101A25,안성천3,2025-01-02,1회차,"127°4'48.1""","36°59'.9""",11:30,,6.1,10.8,2,6.7,5.3,5.701,0.155,3.6,127.0800278,36.98358333
5004A30,영산포1,2025-01-02,1회차,"126°40'49.3""","35°0'16.6""",10:30,,6.3,13.3,2.8,7.9,10.4,7.592,0.09,4.1,126.6803611,35.00461111
2007A10,영순,2025-01-02,1회차,"128°16'3.72""","36°32'13.92""",13:20,,4.4,13.5,0.4,3.2,2.6,2.02,0.016,,128.2677,36.5372
2003A50,예천1,2025-01-02,1회차,"128°21'54.3""","36°31'40.34""",14:00,,5.1,12.8,0.5,3.8,2.2,2.11,0.011,,128.3650833,36.52787222
2003A60,예천2,2025-01-02,1회차,"128°17'48.61""","36°33'53.72""",13:40,,4.7,13,0.5,3.1,3,2.35,0.025,,128.2968361,36.56492222
4005A20,요천3,2025-01-02,1회차,"127°18'58.13""","35°18'42.52""",11:30,,5.4,15.3,0.6,2.7,1.9,3.872,0.017,2.6,127.3161472,35.31181111
5001A20,우치,2025-01-02,1회차,"126°53'21.36""","35°14'42.86""",10:20,,6.4,12.3,0.9,3.6,2.3,2.727,0.08,3.4,126.8892667,35.24523889
1024A10,월곶,2025-01-02,1회차,"126°38'12.54""","37°46'.72""",:,,,,,,,,,,126.6368167,37.76686667
3301A51,익산천1,2025-01-02,1회차,"127°2'6.9""","35°55'29.7""",10:00,,2.6,13.2,2.1,4.1,5.6,3.708,0.05,1.3,127.03525,35.92491667
3301A52,익산천2,2025-01-02,1회차,"127°1'57.9""","35°55'8.8""",9:54,,2.9,13,2.1,4,5,3.591,0.051,1.2,127.03275,35.91911111
3301A53,익산천3,2025-01-02,1회차,"127°1'47.6""","35°54'9.2""",9:47,,3.1,12.4,2.2,4.3,6.7,3.407,0.058,1.6,127.0298889,35.90255556
1023A25,임진강7,2025-01-02,1회차,"126°44'34""","37°54'10.5""",11:10,,1.6,12.5,1.1,6.4,155.4,4.551,0.139,2.9,126.7427778,37.90291667
4004A10,적성,2025-01-02,1회차,"127°13'16.57""","35°24'7.77""",10:00,,2.9,13.3,1.7,3.6,1.7,1.874,0.006,1.2,127.2212694,35.40215833
4007A40,주암댐,2025-01-02,1회차,"127°14'26.74""","35°3'23.78""",11:03,105.88,9.5,9.1,0.4,3.1,1.3,0.811,0.007,2.2,127.2407611,35.05660556
5004A35,죽산,2025-01-02,1회차,"126°37'58""","34°58'36""",11:00,,5.4,15.8,4.6,8.7,11.9,7.147,0.071,6.7,126.6327778,34.97666667
5003A60,지석천4,2025-01-02,1회차,"126°46'47.4""","35°3'6.7""",10:30,,3.5,14.7,1.5,4.2,3.2,5.373,0.088,3.2,126.7798333,35.05186111
2014A60,창녕,2025-01-02,1회차,"128°21'30.9""","35°36'40.7""",11:27,,6.8,11.9,1.1,6.1,2,3.453,0.024,1.9,128.3585833,35.61130556
5101A55,탐진강5,2025-01-02,1회차,"126°48'46.68""","34°38'8.21""",14:00,,5.2,14.9,1.3,3.5,2.2,1.491,0.032,2.6,126.8129667,34.63561389
