수계,댐이름,금일강우량,전일강우량,금년누계강우량,전년누계강우량,예년누계강우량,전일유입량유량,본댐전일방류량유량,조정치전일방류량유량,현재저수위,전년저수위,예년저수위,현재저수량,전년저수량,예년저수량,현재저수율,실적발전량,계획발전량,대비발전량,연간계획발전량,연간대비발전량
금강,대청,0.0,0.0,118.2,238.0,165.2,27.9,33.4,21.3,71.17,73.93,69.9,876.0,"1,034.3",808.6,58.8,"22,672","22,984",98.6,"92,652",24.5
금강,용담,0.0,0.0,146.8,323.2,210.4,10.8,16.7,0.0,252.03,259.0,249.57,432.4,620.6,375.8,53.1,"30,280","35,046",86.4,"110,274",27.5
기타,보령,0.0,0.0,191.8,281.3,186.0,4.0,3.4,0.0,62.27,72.29,64.09,36.7,79.1,43.3,31.4,0.0,0.0,0.0,0.0,0.0
기타,부안,0.0,0.0,228.1,350.1,209.0,0.5,0.9,0.0,36.8,40.62,36.01,30.2,39.7,28.4,60,0.0,0.0,0.0,0.0,0.0
기타,장흥,0.0,0.0,173.2,356.0,241.7,2.0,5.0,0.0,75.48,75.17,70.3,124.5,122,85.7,65.2,0.0,0.0,0.0,0.0,0.0
낙동강,군위,0.0,0.0,64.2,160.6,144.6,0.3,1.0,0.0,190.39,197.51,191.5,18.5,31.9,20.3,37.9,0.0,0.0,0.0,0.0,0.0
낙동강,김천부항,0.0,0.0,118.6,307.1,194.8,0.6,1.7,0.0,183.77,192.37,185.04,24.2,40.6,26.3,44.5,0.0,0.0,0.0,0.0,0.0
낙동강,남강,0.0,0.0,133.2,360.4,242.6,25.2,19.6,0.0,40.36,39.71,38.97,165.8,148.6,129.9,53.6,"6,415","3,108",206.4,"55,929",11.5
낙동강,밀양,0.0,0.0,144.8,343.4,247.5,1.6,1.6,0.0,192.22,205.08,191.62,42.3,64.5,41.4,57.4,0.0,0.0,0.0,0.0,0.0
낙동강,보현산,0.0,0.0,79.8,181.1,150.1,0.2,0.5,0.0,224.86,231.22,223.41,8.6,14.5,6.9,38.9,0.0,0.0,0.0,0.0,0.0
낙동강,성덕,0.0,0.0,103.7,234.2,192.5,0.3,0.6,0.0,352.53,360.24,353.81,13.6,21.8,14.8,48.6,0.0,0.0,0.0,0.0,0.0
낙동강,안동,0.0,0.0,127.4,199.0,160.7,22.0,22.0,21.1,148.68,156.61,144.56,684.7,"1,023",543.1,54.9,"30,646","27,033",113.4,"127,717",24.0
낙동강,영주,0.0,0.0,104.8,162.2,161.5,1.4,8.0,0.0,146.36,147.99,149.82,55.1,60.8,73.7,30.4,0.0,0.0,0.0,0.0,0.0
낙동강,임하,0.0,0.0,94.2,204.8,144.0,5.9,7.7,6.2,145.36,159.39,146.51,215.7,469.3,231.7,36.2,"4,287","13,273",32.3,"43,154",9.9
낙동강,합천,0.0,0.0,111.9,313.7,190.7,6.2,12.0,12.8,160.75,171.65,154.58,411.9,620.1,316.3,52.1,"36,480","42,112",86.6,"140,865",25.9
섬진강,섬진강,0.0,0.0,170.4,250.1,199.6,8.3,12.2,0.0,188.4,192.39,185.66,267.6,345.7,221.4,57.4,0.0,0.0,0.0,0.0,0.0
섬진강,주암(본),0.0,0.0,153.0,364.4,224.0,6.4,13.0,0.0,101.79,106.18,97.35,253.1,346.8,178.5,55.4,0.0,0.0,0.0,0.0,0.0
섬진강,주암(조),0.0,0.0,156.6,424.3,254.4,5.7,8.5,8.9,100.95,98.28,91.82,163.8,148,114.1,65.5,"16,147","16,965",95.2,"56,291",28.7
한강,소양강,0.0,0.0,114.5,145.6,147.2,78.5,56.4,0.0,182.71,185.22,169.97,"1,852.9","1,985.6","1,275.6",63.9,"144,678","120,844",119.7,"432,699",33.4
한강,충주,0.0,0.0,140.2,199.8,160.4,153.2,111.1,131.4,132.0,133.61,126.88,"1,514.4","1,621","1,213.8",55.1,"123,681","136,178",90.8,"493,252",25.1
한강,횡성,0.0,0.0,134.8,153.4,162.9,4.1,1.7,0.0,175.88,175.31,170.65,64.0,61.2,41.1,73.6,0.0,0.0,0.0,0.0,0.0
