"조사년도","조사회차","조사지점","학명","국명","개체밀도"
"2024","1","임계천","Achnanthes convergens","땅콩돌말","1438"
"2024","1","임계천","Achnanthes minutissima","땅콩돌말","1318"
"2024","1","임계천","Amphora inariensis","보리돌말","240"
"2024","1","임계천","Cocconeis placentula var. euglypta","낟알돌말","420"
"2024","1","임계천","Cymbella silesiaca","반달돌말","540"
"2024","1","임계천","Diatoma mesodon","막돌말","240"
"2024","1","임계천","Fragilaria capucina","김발돌말","420"
"2024","1","임계천","Fragilaria capucina var. mesolepta","김발돌말","300"
"2024","1","임계천","Fragilaria construens","김발돌말","659"
"2024","1","임계천","Fragilaria crotonensis","김발돌말","899"
"2024","1","임계천","Fragilaria elliptica","김발돌말","240"
"2024","1","임계천","Fragilaria ulna","김발돌말","1977"
"2024","1","임계천","Gomphonema clevei","쐐기돌말","300"
"2024","1","임계천","Gomphonema olivaceum","쐐기돌말","1198"
"2024","1","임계천","Gomphonema parvulum","쐐기돌말","240"
"2024","1","임계천","Hannaea arcus var. recta","낫돌말","1558"
"2024","1","임계천","Melosira varians","원통돌말","240"
"2024","1","임계천","Nitzschia capitellata","등침돌말","300"
"2024","1","임계천","Nitzschia frustulum","등침돌말","300"
"2024","1","임계천","Surirella angusta","방패돌말","240"
"2024","2","임계천","Achnanthes convergens","땅콩돌말","320"
"2024","2","임계천","Achnanthes minutissima","땅콩돌말","409"
"2024","2","임계천","Aulacoseira granulata var. angustissima","대롱돌말","47"
"2024","2","임계천","Cocconeis placentula var. euglypta","낟알돌말","184"
"2024","2","임계천","Gomphonema angustatum","쐐기돌말","43"
"2024","1","송천1","Achnanthes convergens","땅콩돌말","881"
"2024","1","송천1","Achnanthes minutissima","땅콩돌말","3744"
"2024","1","송천1","Cymbella affinis","반달돌말","441"
"2024","1","송천1","Cymbella minuta","반달돌말","441"
"2024","1","송천1","Cymbella silesiaca","반달돌말","551"
"2024","1","송천1","Fragilaria capucina var. rumpens","김발돌말","991"
"2024","1","송천1","Gomphonema quadripunctatum","쐐기돌말","1432"
"2024","1","송천1","Melosira varians","원통돌말","441"
"2024","1","송천1","Navicula rhynchocephala","쪽배돌말","6056"
"2024","1","송천1","Navicula viridula","쪽배돌말","3414"
"2024","1","송천1","Nitzschia fonticola","등침돌말","1432"
"2024","1","송천1","Nitzschia inconspicua","등침돌말","2423"
"2024","1","송천1","Reimeria sinuata","고리짝돌말","441"
"2024","2","송천1","Achnanthes convergens","땅콩돌말","600"
"2024","2","송천1","Achnanthes minutissima","땅콩돌말","1200"
"2024","2","송천1","Cocconeis placentula var. euglypta","낟알돌말","600"
"2024","2","송천1","Diatoma vulgaris","막돌말","600"
"2024","2","송천1","Melosira varians","원통돌말","2100"
"2024","2","송천1","Navicula viridula","쪽배돌말","300"
"2024","2","송천1","Nitzschia capitellata","등침돌말","600"
"2024","1","대기천","Achnanthes convergens","땅콩돌말","108"
"2024","1","대기천","Achnanthes minutissima","땅콩돌말","329"
"2024","1","대기천","Cocconeis placentula var. euglypta","낟알돌말","443"
"2024","1","대기천","Fragilaria berolinensis","김발돌말","108"
"2024","1","대기천","Fragilaria capucina var. rumpens","김발돌말","229"
"2024","1","대기천","Fragilaria crotonensis","김발돌말","108"
"2024","1","대기천","Navicula viridula","쪽배돌말","108"
"2024","2","대기천","Achnanthes convergens","땅콩돌말","6070"
"2024","2","대기천","Achnanthes delicatula","땅콩돌말","1119"
"2024","2","대기천","Achnanthes minutissima","땅콩돌말","1119"
"2024","2","대기천","Cocconeis placentula var. euglypta","낟알돌말","1119"
"2024","2","대기천","Diatoma vulgaris","막돌말","2556"
"2024","2","대기천","Melosira varians","원통돌말","3674"
"2024","2","대기천","Nitzschia inconspicua","등침돌말","7348"
"2024","1","어천1-1","Achnanthes convergens","땅콩돌말","8865"
"2024","1","어천1-1","Achnanthes minutissima","땅콩돌말","8865"
"2024","1","어천1-1","Amphora inariensis","보리돌말","1773"
"2024","1","어천1-1","Cocconeis placentula var. euglypta","낟알돌말","34276"
"2024","1","어천1-1","Cymbella leptoceros","반달돌말","1773"
"2024","1","어천1-1","Diatoma vulgaris","막돌말","11820"
"2024","1","어천1-1","Fragilaria capucina var. rumpens","김발돌말","1773"
"2024","1","어천1-1","Melosira varians","원통돌말","4728"
"2024","1","어천1-1","Navicula viridula","쪽배돌말","4728"
"2024","1","어천1-1","Nitzschia capitellata","등침돌말","11820"
"2024","1","어천1-1","Nitzschia fonticola","등침돌말","29548"
"2024","2","어천1-1","Achnanthes convergens","땅콩돌말","5516"
"2024","2","어천1-1","Achnanthes minutissima","땅콩돌말","2758"
"2024","2","어천1-1","Aulacoseira granulata var. angustissima","대롱돌말","5516"
"2024","2","어천1-1","Cocconeis placentula var. euglypta","낟알돌말","17235"
"2024","2","어천1-1","Diatoma vulgaris","막돌말","57220"
"2024","2","어천1-1","Fragilaria crotonensis","김발돌말","5516"
"2024","2","어천1-1","Gomphonema pumilum","쐐기돌말","2758"
"2024","2","어천1-1","Melosira varians","원통돌말","37228"
"2024","2","어천1-1","Navicula rhynchocephala","쪽배돌말","11720"
"2024","2","어천1-1","Nitzschia acicularis","등침돌말","2758"
"2024","2","어천1-1","Nitzschia dissipata","등침돌말","2758"
"2024","2","어천1-1","Nitzschia fonticola","등침돌말","31023"
"2024","1","지장천3","Achnanthes convergens","땅콩돌말","3873"
"2024","1","지장천3","Achnanthes minutissima","땅콩돌말","3937"
"2024","1","지장천3","Amphora inariensis","보리돌말","254"
"2024","1","지장천3","Amphora veneta","보리돌말","254"
"2024","1","지장천3","Cocconeis placentula var. euglypta","낟알돌말","699"
"2024","1","지장천3","Cymbella affinis","반달돌말","699"
"2024","1","지장천3","Cymbella silesiaca","반달돌말","254"
"2024","1","지장천3","Diatoma vulgaris","막돌말","254"
"2024","1","지장천3","Melosira varians","원통돌말","826"
"2024","1","지장천3","Nitzschia capitellata","등침돌말","699"
"2024","1","지장천3","Nitzschia fonticola","등침돌말","889"
"2024","1","지장천3","Nitzschia linearis","등침돌말","318"
"2024","2","지장천3","Achnanthes convergens","땅콩돌말","1778"
"2024","2","지장천3","Achnanthes linearis","땅콩돌말","572"
"2024","2","지장천3","Achnanthes minutissima","땅콩돌말","7937"
"2024","2","지장천3","Aulacoseira granulata var. angustissima","대롱돌말","826"
"2024","2","지장천3","Cocconeis placentula var. euglypta","낟알돌말","3239"
"2024","2","지장천3","Diatoma vulgaris","막돌말","318"
"2024","2","지장천3","Fragilaria capucina var. vaucheriae","김발돌말","254"
"2024","2","지장천3","Gomphonema pumilum","쐐기돌말","318"
"2024","2","지장천3","Melosira varians","원통돌말","445"
"2024","2","지장천3","Navicula rhynchocephala","쪽배돌말","318"
"2024","1","영월1","Achnanthes convergens","땅콩돌말","4591"
"2024","1","영월1","Achnanthes minutissima","땅콩돌말","12624"
"2024","1","영월1","Cocconeis placentula var. euglypta","낟알돌말","4591"
"2024","1","영월1","Cymbella affinis","반달돌말","28116"
"2024","1","영월1","Cymbella leptoceros","반달돌말","1722"
"2024","1","영월1","Cymbella silesiaca","반달돌말","1722"
"2024","1","영월1","Cymbella turgidula","반달돌말","1722"
"2024","1","영월1","Diatoma mesodon","막돌말","2869"
"2024","1","영월1","Diatoma vulgaris","막돌말","1722"
"2024","1","영월1","Fragilaria capitellata","김발돌말","1722"
"2024","1","영월1","Fragilaria capucina","김발돌말","15493"
"2024","1","영월1","Fragilaria capucina var. mesolepta","김발돌말","1722"
"2024","1","영월1","Fragilaria capucina var. rumpens","김발돌말","2296"
"2024","1","영월1","Fragilaria construens","김발돌말","8034"
"2024","1","영월1","Fragilaria crotonensis","김발돌말","2869"
"2024","1","영월1","Melosira varians","원통돌말","3443"
"2024","1","영월1","Navicula viridula","쪽배돌말","6312"
"2024","1","영월1","Nitzschia dissipata","등침돌말","2296"
"2024","1","영월1","Nitzschia fonticola","등침돌말","6886"
"2024","1","영월1","Nitzschia inconspicua","등침돌말","2296"
"2024","1","영월1","Nitzschia linearis","등침돌말","1722"
"2024","1","영월1","Nitzschia perminuta","등침돌말","1722"
"2024","1","영월1","Reimeria sinuata","고리짝돌말","1722"
"2024","2","영월1","Achnanthes convergens","땅콩돌말","3515"
"2024","2","영월1","Achnanthes minutissima","땅콩돌말","2146"
"2024","2","영월1","Cocconeis placentula var. euglypta","낟알돌말","1324"
"2024","2","영월1","Fragilaria capucina","김발돌말","2465"
"2024","2","영월1","Gomphonema olivaceum","쐐기돌말","320"
"2024","2","영월1","Navicula cryptocephala","쪽배돌말","320"
"2024","2","영월1","Nitzschia capitellata","등침돌말","594"
"2024","2","영월1","Reimeria sinuata","고리짝돌말","320"
"2024","1","판운천","Achnanthes convergens","땅콩돌말","15735"
"2024","1","판운천","Achnanthes minutissima","땅콩돌말","15735"
"2024","1","판운천","Cocconeis placentula var. euglypta","낟알돌말","807"
"2024","1","판운천","Cymbella silesiaca","반달돌말","2421"
"2024","1","판운천","Denticula tenuis","밀알돌말","1614"
"2024","1","판운천","Diatoma mesodon","막돌말","10894"
"2024","1","판운천","Diatoma vulgaris","막돌말","807"
"2024","1","판운천","Fragilaria capitellata","김발돌말","807"
"2024","1","판운천","Fragilaria capucina var. rumpens","김발돌말","4842"
"2024","1","판운천","Fragilaria crotonensis","김발돌말","4842"
