"조사년도","조사회차","조사지점","학명","국명","개체수"
"2024","1","임계천","Ladislavia taczanowskii","새미","19"
"2024","1","임계천","Liobagrus andersoni","퉁가리","1"
"2024","1","임계천","Pungtungia herzi","돌고기","1"
"2024","1","임계천","Rhynchocypris kumgangensis","금강모치","32"
"2024","1","임계천","Rhynchocypris oxycephalus","버들치","2"
"2024","1","임계천","Zacco koreanus","참갈겨니","56"
"2024","2","임계천","Coreoleuciscus splendidus","쉬리","13"
"2024","2","임계천","Ladislavia taczanowskii","새미","42"
"2024","2","임계천","Pungtungia herzi","돌고기","15"
"2024","2","임계천","Rhynchocypris kumgangensis","금강모치","25"
"2024","2","임계천","Zacco koreanus","참갈겨니","9"
"2024","1","송천1","Ladislavia taczanowskii","새미","39"
"2024","1","송천1","Microphysogobio yaluensis","돌마자","3"
"2024","1","송천1","Pseudogobio esocinus","모래무지","4"
"2024","1","송천1","Rhinogobius brunneus","밀어","11"
"2024","1","송천1","Zacco platypus","피라미","9"
"2024","2","송천1","Hemibarbus labeo","누치","1"
"2024","2","송천1","Iksookimia koreensis","참종개","2"
"2024","2","송천1","Ladislavia taczanowskii","새미","1"
"2024","2","송천1","Micropterus salmoides","배스","6"
"2024","2","송천1","Pseudogobio esocinus","모래무지","4"
"2024","2","송천1","Pseudorasbora parva","참붕어","3"
"2024","2","송천1","Pungtungia herzi","돌고기","21"
"2024","2","송천1","Rhinogobius brunneus","밀어","6"
"2024","2","송천1","Rhynchocypris oxycephalus","버들치","13"
"2024","2","송천1","Zacco koreanus","참갈겨니","3"
"2024","2","송천1","Zacco platypus","피라미","92"
"2024","1","대기천","Ladislavia taczanowskii","새미","19"
"2024","1","대기천","Orthrias nudus","대륙종개","21"
"2024","1","대기천","Rhynchocypris kumgangensis","금강모치","11"
"2024","1","대기천","Rhynchocypris oxycephalus","버들치","4"
"2024","2","대기천","Iksookimia koreensis","참종개","3"
"2024","2","대기천","Ladislavia taczanowskii","새미","76"
"2024","2","대기천","Orthrias nudus","대륙종개","32"
"2024","2","대기천","Rhynchocypris kumgangensis","금강모치","35"
"2024","2","대기천","Rhynchocypris oxycephalus","버들치","24"
"2024","2","대기천","Zacco koreanus","참갈겨니","65"
"2024","2","대기천","Zacco platypus","피라미","21"
"2024","1","어천1-1","Coreoleuciscus splendidus","쉬리","20"
"2024","1","어천1-1","Phoxinus phoxinus","연준모치","14"
"2024","1","어천1-1","Pungtungia herzi","돌고기","8"
"2024","1","어천1-1","Rhynchocypris kumgangensis","금강모치","32"
"2024","1","어천1-1","Rhynchocypris oxycephalus","버들치","9"
"2024","1","어천1-1","Zacco koreanus","참갈겨니","56"
