"조사년도","조사회차","대권역","중권역","조사지점","건강성평가등급"
"2024","1","한강","남한강상류","임계천","A"
"2024","1","한강","남한강상류","송천1","C"
"2024","1","한강","남한강상류","대기천","A"
"2024","1","한강","남한강상류","어천1-1","A"
"2024","1","한강","남한강상류","지장천3","A"
"2024","1","한강","남한강상류","영월1","A"
"2024","1","한강","평창강","하안미천","B"
"2024","1","한강","평창강","판운천","A"
"2024","1","한강","평창강","주천강-1(횡성)","B"
"2024","1","한강","평창강","주천강-2","B"
"2024","1","한강","평창강","오미천(원주)","A"
"2024","1","한강","평창강","엄둔천","A"
"2024","1","한강","평창강","평창강3-2","A"
"2024","1","한강","평창강","쌍용천2","A"
"2024","1","한강","평창강","연당천","A"
"2024","1","한강","평창강","평창강5","B"
"2024","1","한강","충주댐","영월2","B"
"2024","1","한강","충주댐","덕구천","A"
"2024","1","한강","충주댐","마포천1","A"
"2024","1","한강","충주댐","영춘","A"
"2024","1","한강","충주댐","사이곡천","A"
"2024","1","한강","충주댐","어곡천1","A"
"2024","1","한강","충주댐","하일천","A"
"2024","1","한강","충주댐","덕천1","B"
"2024","1","한강","충주댐","노동천(단양)","A"
"2024","1","한강","충주댐","남조천","A"
"2024","1","한강","충주댐","수산천(제천)","B"
"2024","1","한강","충주댐","주포천","A"
"2024","1","한강","충주댐","고암천","C"
"2024","1","한강","충주댐","미당천(제천)","A"
"2024","1","한강","충주댐","제천천3-1","A"
"2024","1","한강","충주댐","화당천","A"
"2024","1","한강","충주댐","광천1(제천)","A"
"2024","1","한강","충주댐","광천2(제천)","A"
"2024","1","한강","충주댐","충주댐","B"
"2024","1","한강","충주댐","목행대교","C"
"2024","1","한강","달천","미원천1(청주)","B"
"2024","1","한강","달천","감천1(청주)","B"
"2024","1","한강","달천","감천2","C"
"2024","1","한강","달천","구룡천1(괴산)","B"
"2024","1","한강","달천","압항천","B"
"2024","1","한강","달천","흑석천","B"
"2024","1","한강","달천","원풍천","A"
"2024","1","한강","달천","동진천-1","B"
"2024","1","한강","달천","신항천","B"
"2024","1","한강","달천","소여천","C"
"2024","1","한강","달천","음성천-2","C"
"2024","1","한강","달천","달천6-1","B"
"2024","1","한강","달천","달천6-2","A"
"2024","1","한강","달천","요도천-1","B"
"2024","1","한강","달천","교현천","C"
"2024","1","한강","충주댐하류","영덕천1","C"
"2024","1","한강","충주댐하류","오량천","B"
"2024","1","한강","충주댐하류","원주","B"
"2024","1","한강","섬강","전천-1(횡성)","B"
"2024","1","한강","섬강","생운천","B"
"2024","1","한강","섬강","화천(원주)","A"
"2024","1","한강","섬강","계정천(양평)","A"
"2024","1","한강","섬강","단석천","A"
"2024","1","한강","섬강","대안천","B"
"2024","1","한강","섬강","섬강6","A"
"2024","1","한강","남한강하류","미평천","C"
"2024","1","한강","남한강하류","대덕천(용인)","B"
