조사년도,조사회차,PTNM,학명,국명,개체밀도
2024,1,임계천,Ameletus costalis,피라미하루살이,4
2024,1,임계천,Amphinemura KUa,총채민강도래 KUa,8
2024,1,임계천,Antocha KUa,명주각다귀 KUa,12
2024,1,임계천,Apsilochorema sutshanum,긴발톱물날도래,4
2024,1,임계천,Arcynopteryx KUa,큰등그물강도래 KUa,12
2024,1,임계천,Baetis silvaticus,감초하루살이,26
2024,1,임계천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),30
2024,1,임계천,Cincticostella levanidovae,민하루살이,12
2024,1,임계천,Davidius lunatus,쇠측범잠자리,4
2024,1,임계천,Dicranota KUa,애기각다귀 KUa,4
2024,1,임계천,Drunella aculea,뿔하루살이,12
2024,1,임계천,Ecdyonurus kibunensis,두점하루살이,37
2024,1,임계천,Epeorus nipponicus,흰부채하루살이,12
2024,1,임계천,Epeorus pellucidus,부채하루살이,8
2024,1,임계천,Ephemerella kozhovi,흰등하루살이,19
2024,1,임계천,Hydropsyche orientalis,동양줄날도래,4
2024,1,임계천,Lepidostoma KUb,네모집날도래 KUb,8
2024,1,임계천,Limnodrilus gotoi,실지렁이,4
2024,1,임계천,Neophylax ussuriensis,가시우묵날도래,4
2024,1,임계천,Rhyacophila lata,올챙이물날도래,4
2024,1,임계천,Semisulcospira libertina,다슬기,12
2024,1,임계천,Simulium sp.,먹파리류,4
2024,1,임계천,Stavsolus japonicus,그물강도래붙이,8
2024,1,임계천,Sweltsa nikkoensis,녹색강도래,56
2024,1,임계천,Tipula (Yamatotipula) latemarginata latemarginata,애아이노각다귀,4
2024,2,임계천,Baetiella tuberculata,애호랑하루살이,19
2024,2,임계천,Baetis fuscatus,개똥하루살이,4
2024,2,임계천,Cheumatopsyche brevilineata,꼬마줄날도래,19
2024,2,임계천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),8
2024,2,임계천,Choroterpes (Euthraulus) altioculus,세갈래하루살이,4
2024,2,임계천,Dugesia sp.,플라나리아류,4
2024,2,임계천,Ecdyonurus kibunensis,두점하루살이,23
2024,2,임계천,Epeorus pellucidus,부채하루살이,86
2024,2,임계천,Eubrianax ramicornis,둥근물삿갓벌레,12
2024,2,임계천,Hydropsyche orientalis,동양줄날도래,12
2024,2,임계천,Lepidostoma KUb,네모집날도래 KUb,4
2024,2,임계천,Oyamia nigribasis,진강도래,8
2024,2,임계천,Rhyacophila shikotsuensis,민무늬물날도래,4
2024,2,임계천,Semisulcospira libertina,다슬기,130
2024,2,임계천,Stenopsyche marmorata,멋쟁이각날도래,4
2024,2,임계천,Teloganopsis punctisetae,등줄하루살이,4
2024,2,임계천,Wormaldia KUa,입술날도래 KUa,15
2024,1,송천1,Baetis silvaticus,감초하루살이,52
2024,1,송천1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),60
2024,1,송천1,Eisenia sp.,줄지렁이류,12
2024,1,송천1,Ephemerella kozhovi,흰등하루살이,12
2024,1,송천1,Erpobdella lineata,돌거머리,12
2024,1,송천1,Limnodrilus gotoi,실지렁이,78
2024,2,송천1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),623
2024,2,송천1,Ephemerella atagosana,알락하루살이,4
2024,2,송천1,Erpobdella lineata,돌거머리,8
2024,2,송천1,Kamimuria coreana,한국강도래,4
2024,2,송천1,Radix auricularia,물달팽이,60
2024,1,대기천,Amphinemura KUa,총채민강도래 KUa,19
2024,1,대기천,Baetis silvaticus,감초하루살이,123
2024,1,대기천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),152
2024,1,대기천,Cincticostella levanidovae,민하루살이,4
2024,1,대기천,Drunella aculea,뿔하루살이,4
2024,1,대기천,Ephemerella sp.,알락하루살이류,26
2024,1,대기천,Limnodrilus gotoi,실지렁이,4
2024,2,대기천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),282
2024,2,대기천,Physa acuta,왼돌이물달팽이,12
2024,2,대기천,Radix auricularia,물달팽이,19
2024,1,어천1-1,Acentrella sibirica,콩알하루살이,8
2024,1,어천1-1,Antocha KUa,명주각다귀 KUa,15
2024,1,어천1-1,Baetis fuscatus,개똥하루살이,41
2024,1,어천1-1,Baetis ursinus,방울하루살이,26
2024,1,어천1-1,Cheumatopsyche brevilineata,꼬마줄날도래,4
2024,1,어천1-1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),386
2024,1,어천1-1,Drunella aculea,뿔하루살이,19
2024,1,어천1-1,Drunella ishiyamana,알통하루살이,4
2024,1,어천1-1,Dugesia sp.,플라나리아류,12
2024,1,어천1-1,Ecdyonurus kibunensis,두점하루살이,86
2024,1,어천1-1,Epeorus pellucidus,부채하루살이,197
2024,1,어천1-1,Physa acuta,왼돌이물달팽이,8
2024,1,어천1-1,Radix auricularia,물달팽이,4
2024,1,어천1-1,Semisulcospira libertina,다슬기,4
2024,2,어천1-1,Antocha KUa,명주각다귀 KUa,204
2024,2,어천1-1,Baetiella tuberculata,애호랑하루살이,12
2024,2,어천1-1,Baetis ursinus,방울하루살이,308
2024,2,어천1-1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),3624
2024,2,어천1-1,Dugesia sp.,플라나리아류,23
2024,2,어천1-1,Ecdyonurus kibunensis,두점하루살이,4
2024,2,어천1-1,Eisenia sp.,줄지렁이류,4
2024,2,어천1-1,Epeorus pellucidus,부채하루살이,60
2024,2,어천1-1,Serratella setigera,범꼬리하루살이,4
2024,2,어천1-1,Stenopsyche marmorata,멋쟁이각날도래,8
2024,1,지장천3,Acentrella sibirica,콩알하루살이,12
2024,1,지장천3,Antocha KUa,명주각다귀 KUa,108
2024,1,지장천3,Baetiella tuberculata,애호랑하루살이,8
2024,1,지장천3,Baetis fuscatus,개똥하루살이,34
