지점명,날짜,평균기온,최고기온,최저기온,강수량,평균풍속,평균습도
서울,2024-01-01,3.3,7.3,-0.3,0.0,1.7,83.4
서울,2024-01-02,2.9,4.3,2.2,0.0,1.6,72.6
서울,2024-01-03,1.8,4.0,-1.1,0.6,1.6,80.4
서울,2024-01-04,1.4,4.7,-3.3,,1.9,74.3
서울,2024-01-05,5.0,9.1,1.4,0.0,2.3,77.1
서울,2024-01-06,0.7,5.2,-2.7,2.4,2.2,63.9
서울,2024-01-07,-4.4,-0.9,-8.3,,3.1,57.4
서울,2024-01-08,-4.7,0.0,-10.3,,1.8,57.8
서울,2024-01-09,-0.6,0.4,-1.9,1.6,2.0,84.0
서울,2024-01-10,-1.0,3.3,-4.1,,1.7,85.9
서울,2024-01-11,1.7,4.5,-2.4,,1.9,80.6
서울,2024-01-12,0.9,4.2,-1.4,,2.3,61.6
서울,2024-01-13,0.4,6.4,-3.8,,1.4,44.3
서울,2024-01-14,-0.6,2.4,-3.3,3.1,2.1,74.5
서울,2024-01-15,-3.7,0.9,-6.9,,2.5,51.3
서울,2024-01-16,-2.1,4.3,-7.2,,1.5,49.8
서울,2024-01-17,0.6,1.9,-2.3,9.7,2.0,78.5
서울,2024-01-18,4.5,9.4,1.4,0.5,2.4,81.5
서울,2024-01-19,5.4,9.0,4.0,,4.5,65.4
서울,2024-01-20,3.4,4.9,1.9,0.4,5.3,69.5
서울,2024-01-21,1.7,4.3,-2.4,0.4,2.5,75.8
서울,2024-01-22,-8.7,-2.4,-11.9,0.2,4.1,65.6
서울,2024-01-23,-11.7,-8.2,-14.0,,3.9,53.6
서울,2024-01-24,-8.0,-3.7,-11.2,,3.3,52.0
서울,2024-01-25,-5.3,-0.5,-9.7,,2.1,47.8
서울,2024-01-26,-1.7,4.0,-6.9,,1.9,62.5
서울,2024-01-27,-0.5,4.6,-4.6,,1.8,70.0
서울,2024-01-28,-1.5,3.8,-5.0,,1.9,62.3
서울,2024-01-29,-0.4,4.6,-4.8,,1.7,66.6
서울,2024-01-30,1.4,8.1,-4.0,,1.4,59.3
서울,2024-01-31,4.7,10.6,0.7,,1.9,54.1
서울,2024-02-01,2.4,8.2,-1.3,,2.1,64.9
서울,2024-02-02,3.1,7.9,0.7,,2.1,65.5
서울,2024-02-03,4.7,8.3,-0.2,0.0,2.2,63.9
서울,2024-02-04,7.3,12.2,3.7,,1.8,60.9
서울,2024-02-05,2.7,6.6,0.1,3.9,5.0,81.8
서울,2024-02-06,1.2,2.9,0.0,0.2,2.2,83.5
서울,2024-02-07,0.6,2.7,-0.9,0.0,2.1,76.6
서울,2024-02-08,0.6,6.2,-3.0,,1.6,66.9
서울,2024-02-09,1.1,6.1,-2.5,,2.2,66.8
서울,2024-02-10,1.7,7.4,-1.5,,1.9,69.4
서울,2024-02-11,1.0,5.5,-3.1,0.0,2.2,70.6
서울,2024-02-12,3.5,10.5,-2.9,,1.8,62.8
서울,2024-02-13,8.2,13.7,2.0,,2.5,70.6
서울,2024-02-14,12.9,18.3,8.8,,2.2,76.4
서울,2024-02-15,4.5,11.6,0.6,10.9,2.9,89.9
서울,2024-02-16,2.3,8.1,-1.5,,1.8,72.4
서울,2024-02-17,4.4,11.7,-1.2,,1.7,73.5
서울,2024-02-18,6.2,9.4,1.2,17.1,2.8,81.4
서울,2024-02-19,9.1,11.9,4.2,8.9,2.3,95.8
서울,2024-02-20,4.3,6.8,2.8,2.6,3.4,86.3
서울,2024-02-21,1.9,4.0,0.0,17.8,5.2,92.5
서울,2024-02-22,0.2,1.6,-1.1,8.8,4.2,84.5
서울,2024-02-23,1.8,6.1,-1.0,0.4,3.5,68.8
서울,2024-02-24,2.0,5.9,-1.3,2.3,2.9,68.6
서울,2024-02-25,2.8,5.9,0.8,1.8,2.0,80.8
서울,2024-02-26,3.8,9.7,-1.2,,1.9,65.3
서울,2024-02-27,5.3,9.8,1.2,,3.0,52.0
서울,2024-02-28,6.4,10.1,3.2,,2.1,59.5
서울,2024-02-29,4.8,9.6,0.3,,2.2,63.6
서울,2024-03-01,-4.1,0.3,-7.1,,4.4,38.9
서울,2024-03-02,-0.5,4.1,-8.1,0.0,3.2,60.4
서울,2024-03-03,4.0,7.8,0.4,,2.9,71.5
서울,2024-03-04,5.4,11.7,-1.8,,1.6,45.5
서울,2024-03-05,8.0,11.0,5.5,,2.9,45.1
서울,2024-03-06,6.2,10.3,2.5,,2.8,58.8
서울,2024-03-07,3.9,8.2,1.2,2.1,3.0,62.4
서울,2024-03-08,2.1,6.5,-0.7,,3.4,50.6
서울,2024-03-09,2.0,7.1,-2.1,,2.7,50.8
