조사년도,조사회차,조사지점,학명,국명,출현식생,외래종여부,대권역,중권역,건강성평가등급
2024,1,임계천,Agrimonia pilosa Ledeb.,짚신나물,1,토종,한강,남한강상류,C
2024,1,임계천,Artemisia princeps Pamp.,쑥,1,토종,한강,남한강상류,C
2024,1,임계천,Disporum smilacinum A.Gray,애기나리,1,토종,한강,남한강상류,C
2024,1,임계천,Impatiens textori Miq.,물봉선,1,토종,한강,남한강상류,C
2024,1,임계천,Persicaria lapathifolia Gray,흰여뀌,1,토종,한강,남한강상류,C
2024,1,임계천,Persicaria thunbergii H.Gross ex Nakai,고마리,1,토종,한강,남한강상류,C
2024,1,임계천,Phragmites japonica Steud.,달뿌리풀,1,토종,한강,남한강상류,C
2024,1,임계천,Salix gracilistyla Miq.,갯버들,1,토종,한강,남한강상류,C
2024,1,임계천,Solidago virgaurea subsp. asiatica Kitam. ex Hara,미역취,1,토종,한강,남한강상류,C
2024,1,임계천,Trifolium repens L.,토끼풀,1,외래종,한강,남한강상류,C
2024,1,송천1,Acer tataricum subsp. ginnala Wesm.,신나무,1,토종,한강,남한강상류,C
2024,1,송천1,Amorpha fruticosa L.,족제비싸리,1,외래종,한강,남한강상류,C
2024,1,송천1,Artemisia capillaris Thunb.,사철쑥,1,토종,한강,남한강상류,C
2024,1,송천1,Artemisia integrifolia f. subulata (Nakai) Kitag.,가는잎쑥,1,토종,한강,남한강상류,C
2024,1,송천1,Artemisia princeps Pamp.,쑥,1,토종,한강,남한강상류,C
2024,1,송천1,Aster pilosus Willd.,미국쑥부쟁이,1,외래종,한강,남한강상류,C
2024,1,송천1,Betula platyphylla var. japonica Hara,자작나무,1,토종,한강,남한강상류,C
2024,1,송천1,Commelina communis L.,닭의장풀,1,토종,한강,남한강상류,C
2024,1,송천1,Conyza canadensis Cronquist,망초,1,외래종,한강,남한강상류,C
2024,1,송천1,Coreopsis lanceolata L.,큰금계국,1,외래종,한강,남한강상류,C
2024,1,송천1,Dactylis glomerata L.,오리새,1,외래종,한강,남한강상류,C
2024,1,송천1,Digitaria ciliaris Koel.,바랭이,1,토종,한강,남한강상류,C
2024,1,송천1,Erigeron annuus Pers.,개망초,1,외래종,한강,남한강상류,C
2024,1,송천1,Glycine soja Siebold & Zucc.,돌콩,1,토종,한강,남한강상류,C
